week,home_team,away_team,home_spread,over_under,home_moneyline,away_moneyline
1,Kansas City Chiefs,Detroit Lions,-6.5,52.5,-250,210
1,Atlanta Falcons,Carolina Panthers,-3.0,40.5,-155,135
